iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g3_p2_s2_c1,3,2,2,1,8944271.90999916,0.6,0.1166666666666666,500.0,0.00145756,1.52104,1.51958244,0.15187399999999998,610,0.03571428571428571,0.0015527950310559005
grid_g0_p2_s2_c2,0,2,2,2,1000000.0,0.6,0.1166666666666666,1000.0,0.00249994,1.75425,1.75175006,0.172948,609,0.04813664596273292,0.006211180124223602
grid_g5_p2_s2_c0,5,2,2,0,38539699.35995991,0.6,0.1166666666666666,0.0,0.0087119,1.52604,1.5173281,0.1146924,626,0.027950310559006212,0.0
grid_g1_p2_s2_c2,1,2,2,2,2075781.6311124284,0.6,0.1166666666666666,1000.0,0.000838654,1.60947,1.608631346,0.16205899999999998,620,0.026397515527950312,0.007763975155279503
grid_g4_p2_s2_c1,4,2,2,1,18566355.33445113,0.6,0.1166666666666666,500.0,0.002392,1.56364,1.561248,0.172614,613,0.046583850931677016,0.0015527950310559005
grid_g2_p2_s2_c2,2,2,2,2,4308869.380063765,0.6,0.1166666666666666,1000.0,0.000709601,1.62672,1.6260103989999999,0.164104,623,0.031055900621118012,0.0015527950310559005
grid_g3_p2_s2_c2,3,2,2,2,8944271.90999916,0.6,0.1166666666666666,1000.0,0.000309191,1.3915,1.391190809,0.158852,616,0.037267080745341616,0.003105590062111801
grid_g0_p2_s2_c3,0,2,2,3,1000000.0,0.6,0.1166666666666666,1500.0,0.00279094,1.63768,1.6348890600000001,0.15184499999999998,620,0.023291925465838508,0.007763975155279503
grid_g6_p2_s2_c0,6,2,2,0,80000000.00000003,0.6,0.1166666666666666,0.0,0.00220748,1.53338,1.53117252,0.1110736,633,0.017080745341614908,0.0
grid_g5_p2_s2_c1,5,2,2,1,38539699.35995991,0.6,0.1166666666666666,500.0,0.000442343,1.41144,1.410997657,0.15301099999999998,616,0.03881987577639751,0.0015527950310559005
grid_g1_p2_s2_c3,1,2,2,3,2075781.6311124284,0.6,0.1166666666666666,1500.0,0.00064294,1.31944,1.3187970599999999,0.18023899999999998,611,0.031055900621118012,0.004658385093167702
grid_g4_p2_s2_c2,4,2,2,2,18566355.33445113,0.6,0.1166666666666666,1000.0,9.361e-05,1.46017,1.46007639,0.151075,621,0.029503105590062112,0.006211180124223602
grid_g2_p2_s2_c3,2,2,2,3,4308869.380063765,0.6,0.1166666666666666,1500.0,0.00046145,1.24572,1.24525855,0.156561,597,0.043478260869565216,0.013975155279503106
grid_g6_p2_s2_c1,6,2,2,1,80000000.00000003,0.6,0.1166666666666666,500.0,0.000676276,1.42889,1.428213724,0.141295,617,0.040372670807453416,0.0015527950310559005
grid_g3_p2_s2_c3,3,2,2,3,8944271.90999916,0.6,0.1166666666666666,1500.0,8.47781e-05,1.24876,1.2486752219000001,0.155767,620,0.03571428571428571,0.0015527950310559005
grid_g0_p2_s2_c4,0,2,2,4,1000000.0,0.6,0.1166666666666666,2000.0,0.00607314,1.5432,1.5371268599999999,0.15064,622,0.018633540372670808,0.007763975155279503
